Leading candidate in the first round has between 45-50% first choice votes,Leading candidate in the first round has greater than 50% first choice votes,Leading candidate in the first round has less than 45% of first choice votes,ballot file,lookup_table,name or ID of top-ranked candidate,number of candidates,number of first choice votes,percentage of votes in first round for leading candidate
No,No,Yes,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2014/ballot_image_Member, City Council, District 2 - Oakland_Nov 2014.txt","voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2014/master_lookup_Member, City Council, District 2 - Oakland Nov 2014.txt",ABEL GUILLEN,5,13510,36.03256846780163
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2014/ballot_image_Member, City Council, District 1 - Berkeley_Nov_2014.txt","voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2014/master_lookup_Member, City Council, District 1 - Berkeley_Nov 2014.txt",LINDA MAIO,3,5546,54.724125495852874
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2016/BerkeleyCouncilD3/ballot_image.txt",no lookup table,465,4,7094,57.06230617423175
No,No,Yes,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2016/BerkeleyCouncilD2/ballot_image.txt",no lookup table,461,3,7116,39.72737492973581
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2016/BerkeleyCouncilD5/ballot_image.txt",no lookup table,466,2,9305,62.439548629768936
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2016/OaklandSchoolD1/ballot_image.txt",no lookup table,486,2,28329,75.53743513713862
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2016/OaklandCouncilD7/ballot_image.txt",no lookup table,483,3,15591,53.82592521326406
Yes,No,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2016/BerkeleyMayor/ballot_image.txt",no lookup table,454,8,58994,49.13042004271621
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2016/OaklandCouncilD1/ballot_image.txt",no lookup table,477,2,30787,81.05693961737097
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2016/OaklandSchoolD7/ballot_image.txt",no lookup table,496,2,14627,66.80795788610105
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2016/SanLeandroCouncilD2/ballot_image.txt",no lookup table,498,2,26351,54.38503282607871
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2016/SanLeandroCouncilD4/ballot_image.txt",no lookup table,500,1,21779,100.0
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2016/BerkeleyCouncilD6/ballot_image.txt",no lookup table,468,3,7437,58.41064945542558
No,No,Yes,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2016/OaklandSchoolD5/ballot_image.txt",no lookup table,495,4,13064,37.316289038579306
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2016/OaklandCouncilD3/ballot_image.txt",no lookup table,478,2,23051,56.5051407748037
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2016/OaklandCouncilD5/ballot_image.txt",no lookup table,481,2,13777,56.43463743921028
No,No,Yes,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2016/OaklandSchoolD3/ballot_image.txt",no lookup table,491,5,22042,39.96914980491788
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2016/OaklandCouncilAtLrg/ballot_image.txt",no lookup table,475,5,159050,52.19050613014775
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2016/OaklandAttorney/ballot_image.txt",no lookup table,485,1,125162,100.0
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2016/SanLeandroCouncilD6/ballot_image.txt",no lookup table,501,1,20867,100.0
No,No,Yes,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_ Member, City Council, District 4 - Oakland_Nov 2010.txt","voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/master_lookup_ Member, City Council, District 4 - Oakland_Nov 2010.txt",LIBBY SCHAAF,8,20937,41.77293786120266
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Member, City Council, District 2 - Oakland_Nov 2010.txt","voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/master_lookup_Member, City Council, District 2 - Oakland_Nov 2010.txt",PATRICIA KERNIGHAN,3,13569,65.715970226251
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Member, City Council, District 1 - San Leandro_Nov 2010.txt","voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/master_lookup_Member, City Council, District 1 - San Leandro_Nov 2010.txt",MICHAEL J. GREGORY,4,19942,65.0536556012436
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Member, City Council, District 8 - Berkeley_Nov 2010.txt","voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/master_lookup_Member, City Council, District 8 - Berkeley_Nov 2010.txt",GORDON WOZNIAK,4,4593,61.02765077291531
Yes,No,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Member, City Council, District 7 - Berkeley_Nov 2010.txt","voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/master_lookup_Member, City Council, District 7 - Berkeley_Nov 2010.txt",KRISS WORTHINGTON,4,4177,49.72468278668901
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Member, City Council, District 6 - Oakland_Nov 2010.txt","voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/master_lookup_Member, City Council, District 6 - Oakland_Nov 2010.txt",DESLEY BROOKS,4,12866,64.15358308720658
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Member, City Council, District 4 - Berkeley_Nov 2010.txt","voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/master_lookup_Member, City Council, District 4 - Berkeley_Nov 2010.txt",JESSE ARREGUIN,5,4740,53.52320675105485
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_City Auditor - Oakland_Nov 2010.txt","voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/master_lookup_City Auditor - Oakland_Nov 2010.txt",COURTNEY RUBY,3,97123,66.97795578802138
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Member, City Council, District 5 - San Leandro_Nov 2010.txt","voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/master_lookup_Member, City Council, District 5 - San Leandro_Nov 2010.txt",PAULINE RUSSO CUTTER,3,20145,53.209233060312734
No,No,Yes,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Mayor of San Leandro_Nov 2010.txt","voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/master_lookup_Mayor of San Leandro_Nov 2010.txt",ANTHONY B. ''TONY'' SANTOS,7,22421,35.48459033941394
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_City Auditor - Berkeley_Nov 2010.txt","voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/master_lookup_City Auditor - Berkeley_Nov 2010.txt",ANN-MARIE HOGAN,2,31708,97.84912324965308
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_ School Director, District 6 - Oakland_Nov 2010.txt","voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/master_lookup_ School Director, District 6 - Oakland_Nov 2010.txt",CHRISTOPHER DOBBINS,2,10087,97.47199365519977
No,No,Yes,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Mayor of Oakland_Nov 2010.txt","voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/master_lookup_Mayor of Oakland_Nov 2010.txt",DON PERATA,11,119408,33.74397025324936
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Member, City Council, District 1 - Berkeley_Nov 2010.txt","voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/master_lookup_Member, City Council, District 1 - Berkeley_Nov 2010.txt",LINDA MAIO,5,5685,65.5584872471416
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_ School Director, District 4 - Oakland_Nov 2010.txt","voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/master_lookup_ School Director, District 4 - Oakland_Nov 2010.txt",GARY D. YEE,3,18962,68.64782195970889
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_School Director, District 2 - Oakland_Nov 2010.txt","voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/master_lookup_School Director, District 2 - Oakland_Nov 2010.txt",DAVID KAKISHIBA,2,10062,97.72411051480819
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_ Member, City Council, District 3 - San Leandro_Nov 2010.txt","voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2010/master_lookup_ Member, City Council, District 3 - San Leandro_Nov 2010.txt",DIANA M. SOUZA,2,17485,97.19759794109237
No,Yes,No,"voting_data/Alameda/Alameda (Oakland, San Leandro, Berkeley) 2017/BerkCouncilD4/ballot_image.txt",no lookup table,2,2,2599,61.831473643709124
